"","QE_I01","NT_GER","NT_FG","QE_I25"
"643","A",35.2,42.8,"A"
"644","A",46.6,64.4,"A"
"645","A",46.9,54.8,"E"
"646","A",44.1,67.9,"H"
"647","A",41.4,46.2,"A"
"648","A",32.7,61.2,"E"
"649","A",34.8,66.9,"E"
"650","A",48.4,78.6,"H"
"651","A",54.4,77.6,"E"
"652","A",36.5,55.2,"A"
"653","A",38.3,57.4,"A"
"654","A",44.7,67.9,"C"
"655","A",47.5,64.1,"E"
"656","A",57.4,66.8,"E"
"657","A",35.7,58,"H"
"658","A",29.5,22.5,"E"
"659","A",44,39.7,"E"
"660","A",61.4,80.1,"H"
"661","A",59.9,75.2,"A"
"662","A",55,77.8,"E"
"663","A",47.9,24.9,"E"
"664","A",36.3,41.2,"A"
"665","A",62.5,52,"A"
"666","A",52.4,48.1,"E"
"667","A",37.5,22.5,"E"
"668","A",61.3,53,"A"
"669","A",71,56,"E"
"670","A",49.6,53.9,"A"
"671","A",39.2,66.6,"H"
"672","A",68.4,82.9,"E"
"673","A",43,57.5,"E"
"674","A",77,76.2,"C"
"675","A",69,76,"E"
"676","A",80.8,82.8,"E"
"677","A",37.2,40.4,"C"
"678","A",60.6,71.8,"E"
"679","A",49,51.3,"C"
"680","A",46.3,57.2,"E"
"681","A",55,54.1,"A"
"682","A",43.1,45,"E"
"683","A",59.3,66.8,"E"
"684","A",70.7,85,"H"
"685","A",42.3,52.5,"B"
"686","A",48.6,45.3,"H"
"687","A",57.8,73.2,"A"
"688","A",46.1,60.2,"E"
"689","A",43.8,19.7,"E"
"690","A",59.3,56.1,"H"
"691","A",54.3,71.5,"A"
"692","A",51.1,60.2,"H"
"693","A",50.7,65.6,"A"
"694","A",55.9,73.1,"G"
"695","A",45.1,56.2,"H"
"696","A",50.3,71.6,"H"
"697","A",49.6,58.3,"B"
"698","A",41.7,49.9,"A"
"699","A",37.4,22.5,"A"
"700","A",41.8,50.9,"A"
"701","A",74.6,87.6,"E"
"702","A",56.3,50.1,"E"
"703","A",42.3,60.2,"E"
"704","A",52.1,45,"E"
"705","A",37.5,47.6,"A"
"706","A",73.3,70.5,"E"
"707","A",51.7,54.4,"E"
"708","A",73.5,83.3,"A"
"709","A",53.1,77,"A"
"710","A",50.4,52.5,"E"
"711","B",42.4,30.3,"A"
"712","B",66.8,69.9,"E"
"713","A",49.9,76.7,"E"
"714","A",58,69.3,"E"
"715","A",58.8,78.1,"E"
"716","A",79,65.9,"A"
"717","A",43.8,43,"E"
"718","A",88.6,97,"E"
"719","A",59.1,48.6,"A"
"720","A",47.4,59.5,"B"
"721","A",63.1,59.9,"C"
"722","A",76.8,62.3,"E"
"723","A",51,49.8,"E"
"724","E",39.8,30,"E"
"725","A",30.5,55.2,"E"
"726","A",45.5,54.6,"E"
"727","A",33.8,15,"H"
"728","A",16.6,33.2,"E"
"729","B",42.1,51,"H"
"730","A",69.1,37.5,"E"
"731","A",54.6,42.7,"H"
"732","A",59.3,70.8,"E"
"733","A",58.5,66.3,"E"
"734","A",66.8,77,"A"
"735","A",46.7,44.6,"H"
"736","A",47.1,31.9,"E"
"737","A",54.8,57,"A"
"738","B",30.4,45,"E"
"739","A",50.1,53.5,"H"
"740","A",44.3,45,"H"
"741","A",64.7,60.8,"D"
"742","A",41.3,51.3,"B"
"743","B",21.4,21.8,"E"
"744","A",47.8,77,"H"
"745","A",62.9,86.3,"H"
"746","B",39.1,59.6,"A"
"747","A",48.1,70.4,"E"
"748","B",73.4,66.1,"E"
"749","B",59.2,64,"H"
"750","A",30,51.7,"H"
"751","A",53,51,"E"
"752","A",46.9,73.1,"E"
"753","B",35.3,45.3,"H"
"754","A",48.9,60,"C"
"755","A",69.3,70.5,"E"
"756","A",49.3,57.5,"E"
"757","A",44.2,48.7,"E"
"758","A",37.9,43.7,"E"
"759","A",65.3,51,"E"
"760","A",75,67,"E"
"761","B",23.6,27,"E"
"762","A",52.6,61.4,"D"
"763","A",57.2,54.5,"E"
"764","A",64,71.4,"E"
"765","A",51.6,63.6,"A"
"766","B",37.3,61.2,"H"
"767","B",65.5,89.6,"E"
"768","A",29.9,22.5,"E"
"769","A",67.6,74,"E"
"770","A",47.1,52.8,"E"
"771","A",54.2,30,"B"
"772","B",33,50.6,"H"
"773","A",65.2,61.6,"E"
"774","A",27.7,68.3,"H"
"775","A",15.3,15,"C"
"776","A",41.4,40,"H"
"777","A",31.6,46,"C"
"778","A",55.4,50.1,"H"
"779","A",30.3,39.2,"E"
"780","A",49.5,62.4,"E"
"781","A",45.6,52.1,"H"
"782","A",39.5,65.5,"H"
"783","A",41.9,29.2,"E"
"784","A",49.2,71.5,"E"
"785","B",34.9,60.8,"E"
"786","A",47.9,58.4,"H"
"787","A",56.4,66.3,"A"
"788","A",40,61.3,"G"
"789","A",45.3,41.1,"E"
"790","A",54.7,43.1,"H"
"791","A",51.2,62.2,"C"
"792","A",42.2,55.8,"E"
"793","A",57.9,66.3,"E"
"794","A",51.4,49.2,"E"
"795","A",62.5,72.4,"E"
"796","A",48.6,55.4,"E"
"797","A",62.8,59.4,"E"
"798","A",42.6,61.9,"A"
"799","A",59.2,39.8,"E"
"800","A",58.7,76.2,"E"
"801","A",66.2,67.5,"E"
"802","A",80.8,86.9,"E"
"803","B",47,38.7,"E"
"804","A",40.7,60.4,"E"
"805","A",54.4,52.3,"G"
"806","A",48.9,68.3,"E"
"807","A",52.5,61.9,"E"
"808","A",34.5,63.4,"E"
"809","A",41.5,47.6,"E"
"810","B",45.5,66.6,"H"
"811","A",64.8,55.3,"A"
"812","A",29.9,53.9,"E"
"813","A",38.7,43.1,"G"
"814","A",59,55.5,"E"
"815","A",50.4,59.6,"A"
"816","B",43.7,39.9,"B"
"817","B",55.2,51.7,"H"
"818","A",70.7,85.6,"E"
"819","A",49.2,55.3,"G"
"820","B",53.5,74.4,"E"
"821","A",47.4,63.6,"B"
"822","A",37.4,66.9,"E"
"823","B",63.3,64.9,"H"
"824","A",36.8,41.4,"D"
"825","A",50.2,62.5,"E"
"826","A",38.5,47.1,"A"
"827","A",56.7,75,"H"
"828","B",41.6,48.6,"H"
"829","A",45.3,53.1,"E"
"830","A",60.1,46.7,"E"
"831","A",41.6,49.2,"E"
"832","A",61.9,74.2,"E"
"833","A",60.7,65.8,"E"
"834","B",60.7,52.3,"E"
"835","B",62.4,56.5,"A"
"836","B",41.2,57.3,"E"
"837","B",74.3,84.8,"A"
"838","A",63.8,43.3,"H"
